نام روستا,نام شهرستان,سال اعتبار,فنی,تصویب,ابلاغ
درونكلاغربي,بابل,1400,1401/11/09,1402/01/28,1402/03/03
دلاوركلا,بابل,1400,1402/05/28,1402/07/10,1402/07/24
دون سر,بابل,1401,1402/09/29,1402/12/21,1403/01/19
زعفران كلا,بابل,1402,,,
شوب محله,بابل,1401,1402/05/07,1402/05/23,1402/08/16
شيرسوار,بابل,1400,1401/11/09,1402/01/28,1402/05/21
قمي كلا,بابل,1400,1401/12/03,1402/04/05,1402/05/31
كاسمان كلا,بابل,1401,1403/03/09,1403/07/10,
كرتيچ كلا,بابل,1400,1402/05/07,1402/05/23,1402/11/24
پائين محله كشتلي,بابل,1400,1401/08/26,1401/12/22,
كفشگركلا,بابل,1400,1403/08/06,,
معلم كلا,بابل,1402,,,
ميررودپشت,بابل,1401,1402/09/15,1402/10/25,1402/12/24
اسبوكلا,بابل,1400,1401/03/29,1401/04/04,1402/03/06
انديكلا,بابل,1400,1401/06/13,1401/09/05,1401/10/03
بالابازيار,بابل,1402,,,
چناربن,بابل,1400,1401/08/22,1401/09/05,1401/10/03
درزيكلابزرگ,بابل,1402,,,
علي اباد,بابل,1401,,,
پائين كروكلا,بابل,1401,,,
هليدشت,بابل,1402,,,
سليمان كلا,بابل,1402,,,
اطاق سر,بابل,1402,,,
دارد كاشت,بابل,1401,1402/11/04,1403/05/15,1403/07/18
گاوزن محله,بابل,1403,,,
زيتاكلا,بابل,1402,,,
بالاسيدكلا,بابل,1401,1402/09/15,1402/10/25,
نموداركلا,بابل,1401,1402/10/09,1403/02/24,1403/04/23
ملامحله,بابل,1400,1402/05/28,1402/07/10,1402/07/24
تشون,بابل,1402,,,
بصراپايين,بابل,1400,1402/06/22,1402/08/08,1402/10/13
بصرابالا,بابل,1400,1402/06/22,1402/08/08,1402/10/13
ولي عصر,بابل,1401,1402/11/28,1403/02/19,1403/04/19
ميان دره,بابل,1402,,,
تليكا,بابل,1401,1402/07/22,1402/11/02,1403/04/23
پينك,بابل,1401,1402/07/22,1402/11/02,1403/04/23
ديواعمران,بابل,1401,1402/07/22,1402/11/02,1403/04/23
لمارون,بابل,1401,1403/02/09,1403/02/24,1403/03/10
بزرگ بيشه محله,فريدونكنار,1401,1403/06/25,,
شيرمحله,فريدونكنار,1400,,,
پارومحله منگلاب,بابلسر,1401,1403/07/25,,
داراب دين روشن,بابلسر,1400,1402/04/19,1402/07/03,1403/05/28
نفت چال,بابلسر,1401,1403/07/29,,
هلي باغ,بابلسر,1402,,,
كلاگرسرا,فريدونكنار,1401,1403/07/29,,
منقارپي,فريدونكنار,1401,,,
اسفنديارمحله,بابلسر,1402,,,
قادي محله,بابلسر,1403,,,
ايسي كلا,بابلسر,1400,1401/02/21,1401/08/28,1401/12/25
بالااحمدكلا,بابلسر,1403,,,
كبوتردان,بابلسر,1400,1401/10/28,1402/03/08,1402/04/28
اوكسركريم كلا,فريدونكنار,1400,1401/08/25,1401/11/08,1401/12/25
دوغي كلا,بابلسر,1400,1401/02/21,1401/03/18,1401/05/22
شرمه كلا,بابلسر,1401,1403/05/21,1403/08/22,
وليكرودپشت,بابلسر,1402,,,
گالشكلا,بابلسر,1401,1403/05/21,1403/08/22,
اسبوكلاكريم كلا,فريدونكنار,1402,,,
بابل پشت,بابلسر,1400,1401/12/24,1402/03/29,1403/01/19
علي اباد,بابلسر,1400,1401/12/24,1402/03/29,1403/01/19
سعيد كلا,بابلسر,1400,1401/02/18,1401/03/18,1401/05/22
سپاه محله,بابلسر,1400,1401/02/18,1401/03/18,1401/05/22
بنه كنار,فريدونكنار,1402,,,
سنگ دره,بهشهر,1402,,,
ونشيد,بهشهر,1402,,,
تازه اباد,بهشهر,1400,1400/07/12,1400/11/02,1401/03/03
اميراباد,بهشهر,1400,1402/08/24,1402/09/06,1402/12/03
كوهستان,بهشهر,1402,,,
گرجي محله,بهشهر,1401,1403/04/17,1403/07/10,
الارز,بهشهر,1401,1403/04/07,,
اندرات,بهشهر,1403,,,
پيته نو,بهشهر,1400,1400/10/08,1400/12/07,1401/03/28
غلامي,بهشهر,1403,,,
سفيدچاه,بهشهر,1403,,,
شيلر,بهشهر,1403,,,
عبدالهي,بهشهر,1401,1402/09/11,1402/11/09,1403/02/08
فت كش,بهشهر,1402,,,
كوا,بهشهر,1400,1402/03/20,1402/05/16,1402/10/17
گرنام,بهشهر,1400,1400/10/08,1400/12/07,1401/05/02
لند,بهشهر,1400,1402/03/20,1402/04/05,1402/05/24
يعقوب لنگه,بهشهر,1401,1402/06/11,,
نمك چال,بهشهر,1400,1401/12/03,,
پجيم,بهشهر,1400,1401/05/02,1401/07/23,1402/04/04
پچت,بهشهر,1403,,,
زلت,بهشهر,1403,,,
پابند,بهشهر,1400,1402/03/20,1403/05/29,1403/06/11
سرخ گريوه,بهشهر,1401,1403/04/17,1403/08/15,
عيدين,بهشهر,1402,,,
لوجنده,بهشهر,1400,1400/10/08,1400/12/07,1401/05/22
متكازين,بهشهر,1400,1401/05/26,1401/08/14,1403/03/10
ولو,بهشهر,1402,,,
مهدي اباد,بهشهر,1400,1402/04/28,1402/11/09,1402/12/03
شهيداباد,بهشهر,1400,1403/07/08,,
مهديرجه,گلوگاه,1400,1401/08/04,1402/05/09,1402/09/28
نصرت اباد,گلوگاه,1400,1402/04/14,1402/06/29,1402/12/24
كلكت,گلوگاه,1403,,,
لت كومه,گلوگاه,1400,1402/06/22,1402/07/03,1402/10/12
مصيب محله,گلوگاه,1402,,,
نيالا,گلوگاه,1400,1402/11/25,1403/05/08,1403/06/05
هم چان,گلوگاه,1403,,,
تپه,گلوگاه,1402,,,
پرده سر,تنكابن,1400,1401/04/15,1401/09/12,1401/11/08
ورزمين,تنكابن,1400,1401/02/24,1401/09/05,1402/02/28
داس دره,تنكابن,1402,,,
ابكوله سركوچك,تنكابن,1401,1402/11/28,1403/03/07,1403/03/27
اكبراباد,تنكابن,1401,,,
اميراباد,تنكابن,1402,,,
پسكلايه بزرگ,تنكابن,1400,1400/07/12,1400/10/01,1401/07/16
تازه اباد,تنكابن,1402,,,
تلوسرك,تنكابن,1400,1402/04/19,1402/05/30,1402/09/29
تيل پرده سر,تنكابن,1401,,,
سنگرده,تنكابن,1401,1403/04/10,1403/05/01,
شيروان محله,تنكابن,1403,,,
قاشق تراش محله,تنكابن,1402,,,
كراجوبكنار,تنكابن,1400,1399/10/09,1400/09/08,1401/07/16
نعمت اباد,تنكابن,1402,,,
كرف,تنكابن,1401,1402/11/07,1403/03/07,
عزيزاباد,تنكابن,1400,1398/09/06,1400/09/08,1401/08/11
گلعلي اباد,تنكابن,1400,,,
لشگرك,تنكابن,1401,1402/11/28,1403/05/01,1403/05/21
ليره سر,تنكابن,1400,1401/04/15,,
مرزك,تنكابن,1400,1402/11/07,1403/05/01,
ميانسرا,تنكابن,1400,1398/08/04,1399/07/12,1400/03/26
ميانكوه محله,تنكابن,1400,1401/04/15,1401/07/18,1401/10/27
امامزاده قاسم,تنكابن,1400,1401/04/15,1401/07/18,1401/10/27
عسل محله,تنكابن,1402,,,
كليشم,تنكابن,1400,1401/04/15,1401/07/18,1401/10/27
گلستان محله,تنكابن,1403,,,
كميليه,تنكابن,1402,1403/07/25,,
طالش محله,تنكابن,1403,,,
شمس اباد,تنكابن,1400,1403/07/08,,
مازوبن سفلي,تنكابن,1401,1403/08/20,,
مازوبن عليا,تنكابن,1400,,,
اهك چال,تنكابن,1402,,,
بازارمحله,تنكابن,1402,,,
كاركوه,تنكابن,1400,1403/07/25,,
جل اخوندمحله,تنكابن,1401,1403/04/10,1403/05/01,1403/05/21
تقي اباد,تنكابن,1403,,,
سليم اباد,تنكابن,1400,1399/07/07,1403/05/01,1403/05/29
علي اباد فقيه محله,تنكابن,1403,,,
فقيه محله,تنكابن,1403,,,
كندسر,تنكابن,1401,1402/11/07,1403/03/07,1403/04/31
گليجان,تنكابن,1401,1403/04/10,1403/05/01,1403/05/21
صالح اباد,تنكابن,1401,1402/11/07,1403/03/07,1403/04/23
نصيراباد,تنكابن,1400,1399/02/11,1400/04/05,1400/06/30
پلنگ ابادعليا,تنكابن,1402,,,
تمشكل,تنكابن,1400,1400/06/14,1400/10/01,
خشكبور,تنكابن,1402,,,
دينارسرا,تنكابن,1401,1403/08/20,,
فقيه اباد,تنكابن,1400,1400/04/29,1401/02/10,1402/04/27
لوله ده,تنكابن,1402,,,
معلم كوه,تنكابن,1400,1400/04/29,1400/10/01,1400/11/10
مكرود,تنكابن,1402,,,
ولي اباد,تنكابن,1403,,,
عماريه,تنكابن,1401,1403/07/08,,
اليمون,جويبار,1403,,,
چرخ كتي,جويبار,1403,,,
فوتم عليا,جويبار,1400,1402/03/20,1402/08/01,1402/11/12
استانه سر,جويبار,1400,1402/07/15,1402/10/04,1403/07/15
اسماعيل كلابزرگ,جويبار,1400,1402/02/23,1402/03/22,1402/06/20
انبارسر,جويبار,1400,1402/10/02,1402/10/25,1402/11/12
ايزدخيل,جويبار,1400,1400/06/21,1400/12/14,1401/05/22
بالازرين كلا,جويبار,1400,1401/04/08,1401/08/21,1402/02/20
چلميان,جويبار,1400,,,
كوكنده,جويبار,1400,,,
بيزكي,جويبار,1400,,,
چهارطاقبن,جويبار,1402,,,
سراج محله,جويبار,1402,,,
شوركا,جويبار,1400,1402/04/14,1402/08/01,1402/09/23
كيامحله,جويبار,1400,1402/02/23,1402/03/22,1402/07/25
صفرخيل,جويبار,1400,1402/02/23,1402/04/26,1402/10/17
گليرد,جويبار,1400,1402/02/23,1402/04/26,1402/10/17
محله كلا,جويبار,1400,,,
مشك ابادپائين,جويبار,1401,,,
مرادچال,چالوس,1400,1403/03/13,,
ميانك,چالوس,1400,1401/09/30,1402/02/11,1402/12/03
گيجان,چالوس,1400,1402/02/09,,
كلارك,چالوس,1400,1401/09/30,1402/02/11,1402/12/03
وركلا,چالوس,1400,1401/09/30,1402/02/11,1402/04/22
لاروسر,چالوس,1400,1402/02/09,,
پولادكوه,چالوس,1401,1402/02/13,1402/02/18,1402/11/12
اوجا كله,چالوس,1401,1402/11/14,1403/05/15,1403/05/28
اهنگركلا,چالوس,1400,1401/04/29,1401/07/09,1401/07/30
پيچده,چالوس,1401,1402/11/14,,
زوات غرب,چالوس,1400,1402/10/23,1403/05/08,1403/06/26
سيب ده,چالوس,1403,,,
اكبرابادچالوس,چالوس,1402,,,
گيل كلا,چالوس,1400,1402/10/23,1403/08/01,
مازوپشته,چالوس,1401,,,
ميانكي,چالوس,1400,1401/12/21,1402/08/15,1402/08/29
نجاركلا,چالوس,1402,,,
نعمت اباد,چالوس,1401,1402/11/14,1403/05/05,1403/05/28
اغوزداربن,چالوس,1401,1403/03/13,,
بنفشه ده,چالوس,1400,1401/09/30,1402/02/18,1402/03/11
سركا,چالوس,1403,,,
سنارسفلي,چالوس,1401,,,
سنارعليا,چالوس,1403,,,
گوهركلا,چالوس,1403,,,
متكارودبار,چالوس,1402,,,
ميچكار,چالوس,1401,,,
بازارسر,کلاردشت,1400,1402/02/09,1403/07/10,
تلوچال,کلاردشت,1401,1403/05/03,,
طايب کلا,کلاردشت,1401,1403/05/03,,
تبرسو,کلاردشت,1400,1402/08/20,,
کردمحله,کلاردشت,1401,1403/05/03,,
کوهپر,کلاردشت,1402,,,
لش سر,کلاردشت,1400,1401/09/06,1401/10/10,1403/06/26
والت,کلاردشت,1400,1403/05/03,,
بيجده نو,چالوس,1401,1403/03/13,,
فشكور,چالوس,1401,1403/05/31,,
ولي اباد,چالوس,1400,1402/08/20,,
اشير,چالوس,1402,,,
كريم اباد,چالوس,1402,,,
خارص,چالوس,1403,,,
تازه اباد,چالوس,1403,,,
کرديچال,کلاردشت,1401,,,
تمل,رامسر,1402,,,
اكراسر,رامسر,1400,1401/03/25,1401/04/01,1401/05/22
ايزكي,رامسر,1402,,,
چورته,رامسر,1402,,,
گراسماسر,رامسر,1400,,,
نمكدره,رامسر,1400,1401/03/25,1401/04/23,1401/05/22
ولنگان,رامسر,1403,,,
استل كنار,رامسر,1400,1401/03/25,1401/04/01,1401/05/22
بالاجيركوه,رامسر,1402,,,
پيازكش,رامسر,1401,1403/05/14,1403/08/15,
تنگ دره غربي,رامسر,1400,1400/03/23,1400/10/01,1400/10/19
سلمل,رامسر,1400,1401/04/01,1401/08/14,1401/09/19
شادمرادمحله,رامسر,1400,1401/07/21,1401/08/14,1401/09/19
طلارسرشرقي,رامسر,1402,,,
كلايه بن,رامسر,1400,1401/07/21,1401/11/24,1401/12/24
گاورمك,رامسر,1401,,,
لپاسرك,رامسر,1401,1403/06/07,1403/08/15,
لوسر,رامسر,1401,1403/05/14,1403/08/15,
لات محله,رامسر,1401,1403/05/14,1403/08/15,
مازوباغسر,رامسر,1400,1401/07/20,1401/08/14,1401/09/19
درياپشته,رامسر,1402,,,
طالش محله فتوك,رامسر,1401,1403/05/14,,
كليج كوه,رامسر,1401,,,
منزل دره,سارئ,1400,1400/08/29,1400/12/24,1401/06/08
ورنام بالا,سارئ,1400,1401/03/25,1401/09/19,1402/01/19
كلامك,سارئ,1400,1400/08/17,1400/12/24,1401/05/05
كلقوچال,سارئ,1400,1400/09/28,1400/10/11,1401/01/18
كلاخيل,سارئ,1401,1402/05/21,1402/08/29,1402/10/09
جندين,سارئ,1401,1403/05/24,,
صالح اباد,سارئ,1401,1403/05/28,,
بهاراباد,سارئ,1401,1402/08/24,1402/10/18,1402/11/12
خناراباد,سارئ,1401,1402/08/06,1402/09/06,1403/05/31
افراچال,سارئ,1402,,,
كليچ كلا,سارئ,1403,,,
خال خيل,سارئ,1400,1403/08/20,,
سادات محله,سارئ,1400,1401/10/28,,
كارنام,سارئ,1400,1403/02/09,1403/03/21,1403/06/19
كردمير,سارئ,1400,1401/06/16,1401/08/21,1402/09/13
جورجاده,سارئ,1403,,,
سودكلا,سارئ,1400,1398/03/04,1399/02/20,1399/09/23
دادوكلا,سارئ,1400,1398/03/04,1399/02/20,1399/09/23
وليك بن,سارئ,1401,1403/05/28,,
پروريج اباد,سارئ,1400,1401/03/04,1401/08/21,1402/01/20
تلاوك,سارئ,1400,1401/06/09,,
پهندر,سارئ,1401,1402/05/21,1402/08/08,1402/10/17
ورمزاباد,سارئ,1401,1402/05/21,1402/07/19,1402/10/17
تيركلا,سارئ,1402,,,
سلوكلا,سارئ,1402,,,
گيله كلا عليا,سارئ,1400,,,
ماچك پشت,سارئ,1402,,,
بالاابدنگ,سارئ,1400,1401/06/09,,
طاهرده,سارئ,1400,1401/04/12,1401/08/07,1401/12/23
اوجامحله,سارئ,1400,1402/04/19,1402/12/21,1403/02/19
دازميرکنده,سارئ,1400,1401/03/11,1401/04/22,1401/08/30
ديم توران,سارئ,1401,1402/10/23,,
سعيداباد,سارئ,1403,,,
سيدمحله,سارئ,1400,1402/08/06,,
شيخ علي محله,سارئ,1400,1402/08/13,1402/10/25,1402/11/30
صلاح الدين محله,سارئ,1400,,,
طوقدار,سارئ,1400,1402/10/16,,
عالي باك,سارئ,1401,1403/03/09,,
قاجارخيل,سارئ,1400,1401/06/16,,
گرجي پل,سارئ,1400,1401/09/23,1402/02/18,1402/05/16
بندارخيل,سارئ,1400,1403/05/24,,
خاريك,سارئ,1400,,,
گالش کلا,سارئ,1400,1401/04/12,1401/06/12,1401/09/17
ارزفون,سارئ,1401,1403/07/01,,
تاكام,سارئ,1400,1401/03/04,1402/05/09,1402/07/05
ترم,سارئ,1401,,,
سليم بهرام,سارئ,1402,,,
علويكلا,سارئ,1401,1403/05/24,,
نوده,سارئ,1401,,,
هولار عليا,سارئ,1402,,,
چناربن,سارئ,1402,,,
رگندشت,سارئ,1403,,,
علي كتي,سارئ,1400,,,
مفتي كلا,سارئ,1400,,,
اردشيرمحله,سارئ,1400,1400/08/24,1401/08/21,1402/01/21
چمازتپه,مياندورود,1400,1402/09/04,,
اوسا,مياندورود,1400,1402/03/31,,
زرين ابادسفلي,سارئ,1400,,,
پائين معلم كلا,سارئ,1400,1401/10/28,1402/07/24,1402/08/14
وركلا,مياندورود,1400,1401/09/09,1402/01/21,1402/04/20
ولشكلا,سارئ,1400,1400/11/10,1400/12/24,1401/06/12
هولا,سارئ,1400,1401/09/23,1401/12/13,1402/11/30
رسكت سفلي,سارئ,1400,1403/05/28,1403/08/15,
رسكت عليا,سارئ,1403,,,
اسيابسر,مياندورود,1400,1402/06/11,1402/08/15,1403/02/19
گرجي كلا,سارئ,1400,,,
تازه ابادسپاه,مياندورود,1400,1402/06/11,,
طاهراباد,سارئ,1402,,,
تاج الدين محله,سارئ,1400,1401/03/08,1401/06/12,1401/11/19
پهنه كلا جنوبي,سارئ,1400,1403/08/02,,
نبي اباد,سارئ,1403,,,
ولي اباد,سارئ,1400,1401/08/18,1402/05/09,1402/06/01
يورمحله,سارئ,1401,1402/11/04,1402/11/23,1402/12/24
سرخ كلا,سارئ,1401,,,
اسرم,مياندورود,1401,1402/11/25,1402/12/07,1403/03/10
بزمين اباد,مياندورود,1401,1403/04/27,,
سمسكنده عليا,سارئ,1402,,,
كريكلا,سوادكوه,1400,1401/10/18,1402/05/16,1402/06/20
طالع رودبار,سوادكوه,1403,,,
دوگل,سوادكوه,1403,,,
خواجه کلا,سوادكوه,1403,,,
كاكرون,سوادكوه,1403,,,
گررودبار,سوادكوه,1403,,,
اسداباد,سوادكوه,1403,,,
چايرون بالاوپايين,سوادكوه,1403,,,
اساس,سوادكوه,1400,1402/07/26,1403/06/26,1403/07/15
شورمست,سوادكوه,1400,,,
اوريم رودبار,سوادكوه,1400,1402/03/31,1403/05/22,1403/06/26
برنت,سوادكوه,1402,,,
سيمت,سوادكوه,1400,1401/12/21,1403/05/08,1403/05/28
كمرپشت,سوادكوه,1401,1403/04/03,1403/08/01,
وسيه سر,سوادكوه,1400,1402/07/26,1403/05/22,1403/07/23
کارسالار,سوادكوه,1400,1403/05/14,,
بورخيل,سوادکوه شمالي,1400,1402/06/27,,
چاکسر,سوادکوه شمالي,1400,1402/10/09,,
حاجي کلا,سوادکوه شمالي,1400,1402/06/27,,
مهدي اباد,سوادکوه شمالي,1400,1402/01/30,1402/10/04,1402/11/16
منگل,سوادکوه شمالي,1400,1402/01/30,1402/10/04,1402/11/16
اميرکلا,سوادكوه,1402,,,
سنگنيشت,سوادكوه,1400,1403/07/29,,
ولوکش,سوادكوه,1402,,,
وليلا,سوادكوه,1401,1403/08/20,,
عالمکلا,سوادکوه شمالي,1401,1402/09/04,1402/10/18,1403/02/24
پالند,سوادكوه,1402,,,
شيردره,سوادكوه,1401,,,
كارمزد,سوادكوه,1401,1403/04/03,1403/05/22,1403/05/30
ليند,سوادكوه,1400,1401/09/27,1401/12/06,1402/03/17
گرزين خيل,سوادكوه,1401,,,
فرامرزکلا,سوادکوه شمالي,1401,,,
مرزيدره,سوادکوه شمالي,1400,1402/01/30,1402/03/08,1402/04/17
رضوانکلا,سيمرغ,1401,,,
پاشاكلا,قائم شهر,1401,1403/07/22,,
حاجي كلاارزلو,قائم شهر,1402,,,
حاجي كلاصنم,قائم شهر,1400,1402/02/20,1402/04/12,1402/07/25
سوخته كلا,قائم شهر,1400,,,
صنم,قائم شهر,1400,,,
طارسيكلا,قائم شهر,1400,,,
كشكا,قائم شهر,1400,1403/03/20,,
ميكلا,قائم شهر,1401,1402/07/15,1403/07/03,1403/07/23
نوكلا,قائم شهر,1400,1402/02/20,1402/05/02,1402/08/09
واكي كلا,قائم شهر,1402,,,
افراتخت,قائم شهر,1400,1403/03/20,,
چپي,قائم شهر,1401,1402/07/08,1402/08/08,1402/08/15
ريكنده,قائم شهر,1400,1402/05/21,1402/08/22,1402/10/17
سيفكتي,قائم شهر,1400,1402/05/28,1402/08/22,1402/09/23
كرچنگ,قائم شهر,1402,,,
گل افشان,قائم شهر,1401,1402/09/11,1403/07/03,1403/07/23
مهدي اباد,قائم شهر,1402,,,
استرابادمحله,قائم شهر,1401,1402/10/20,1403/02/03,1403/05/29
بالارستم حاجي,قائم شهر,1401,1402/06/18,1402/07/10,1402/08/13
اسكندركلا,قائم شهر,1400,1401/08/24,,
پايين لموك,قائم شهر,1400,1402/06/18,1402/11/23,1403/07/15
دنجكلا,قائم شهر,1400,1402/03/06,,
ديوكلاسفلي,قائم شهر,1400,1402/04/14,,
ديوكلاعليا,قائم شهر,1400,1401/08/24,1402/04/12,1402/06/20
كروا,قائم شهر,1400,1401/01/31,1402/03/01,1402/03/01
ملك كلا,قائم شهر,1400,1402/05/28,1403/06/26,
مچه بن,قائم شهر,1402,,,
اخته چي,سيمرغ,1400,1403/02/30,1403/03/21,1403/04/23
دوك,قائم شهر,1400,1401/01/31,1401/02/17,1401/07/19
رستم كلا,قائم شهر,1400,1403/07/22,,
زيارکلا,سيمرغ,1400,1401/09/23,1402/05/16,1402/07/25
سنگتاب,سيمرغ,1400,1403/03/20,1403/05/22,1403/08/06
شيرخوارکلا,سيمرغ,1400,1403/02/30,,
مري,سيمرغ,1401,,,
نجارکلاقديم,سيمرغ,1400,1401/08/24,1402/03/01,1402/04/05
بالادسته رکن کلا,سيمرغ,1400,1402/08/27,1403/03/21,1403/06/19
برجي خيل,سيمرغ,1400,1403/03/20,,
